ghes_org,ghes_repo,repo_url,repo_size_MB,github_org,github_repo,gh_repo_visibility,reviewer
ghes-factory-demo,solar-system,https://antgrutta-07mubd.ghe-test.com/ghes-factory-demo/solar-system,2.02,ghecdemo,ppt-solar-system9,private,PapitGitProxyLogin
ghes-factory-demo,calotracker,https://antgrutta-07mubd.ghe-test.com/ghes-factory-demo/calotracker,2.96,ghecdemo,ppt-calotracker9,private,PapitGitProxyLogin
ghes-factory-demo,mern_app,https://antgrutta-07mubd.ghe-test.com/ghes-factory-demo/mern_app,0.25,ghecdemo,ppt-mern_app9,private,PapitGitProxyLogin
ghes-factory-demo,my_app_2,https://antgrutta-07mubd.ghe-test.com/ghes-factory-demo/my_app_2,0,ghecdemo,ppt-my_app_2_9,private,PapitGitProxyLogin
